Range,Temp,Humid,Hight,HA_Start,HA_End,VA_Start,VA_End
367,-5.6,73.0,330,15,79,4,30
792,-6.3,75.0,490,17,24,3,97
1261,-4.5,78.0,650,19,17,3,73
1672,-5.1,77.0,809,19,6,3,75
2156,-5.7,76.0,969,19,84,3,62
2626,-6.2,75.0,1096,20,18,3,44
3153,-7.0,74.0,1215,20,55,3,23
3671,-8.1,73.0,1340,20,77,3,10
4234,-9.2,72.0,1484,21,13,3,1
4859,-10.6,72.0,1647,21,36,2,95
5411,-11.5,73.0,1776,21,58,2,88
6003,-12.0,73.0,1945,21,71,2,87
6842,-11.0,69.0,2062,21,83,2,68
7795,-10.9,63.0,2242,21,76,2,57
8708,-11.4,58.0,2511,21,62,2,60
9618,-11.0,55.0,2743,22,19,2,59
10563,-10.7,55.0,2907,21,28,2,50
11516,-11.3,54.0,3030,21,0,2,40
12480,-12.4,53.0,3203,20,85,2,34
13447,-13.2,54.0,3400,20,70,2,32
14407,-13.9,55.0,3530,20,65,2,25
15317,-14.8,55.0,3668,20,56,2,20
16279,-15.9,55.0,3795,20,51,2,14
17117,-16.6,55.0,3955,20,48,2,13
18213,-17.6,56.0,4114,20,50,2,8
19637,-18.6,57.0,4263,20,47,2,1
20699,-19.5,57.0,4412,20,44,1,96
21966,-20.5,56.0,4561,20,45,1,91
23148,-21.4,56.0,4707,20,43,1,87
24566,-22.5,56.0,4850,20,39,1,82
26038,-23.2,57.0,4986,20,40,1,76
27203,-24.2,58.0,5121,20,41,1,73
28021,-24.3,58.0,5265,20,35,1,73
29188,-25.2,57.0,5409,20,35,1,71
30740,-26.2,55.0,5549,20,30,1,66
31591,-27.4,54.0,5693,20,23,1,66
32486,-28.2,52.0,5832,20,19,1,66
33925,-29.3,49.0,5967,20,8,1,62
35523,-29.8,47.0,6093,20,6,1,58
35967,-30.6,50.0,6234,20,1,1,60
37687,-31.9,53.0,6362,19,95,1,56
38491,-32.7,54.0,6499,19,88,1,56
39991,-34.2,53.0,6627,19,82,1,53
40667,-35.3,52.0,6764,19,79,1,53
41988,-36.9,52.0,6903,19,73,1,51
42028,-38.6,51.0,7063,19,69,1,55
43319,-40.3,,7223,19,67,1,54
45526,-41.9,,7366,19,67,1,49
46466,-43.4,,7514,19,67,1,49
48506,-45.2,,7647,19,68,1,45
49314,-46.5,,7787,19,69,1,45
50547,-47.6,,7926,19,66,1,44
51855,-48.8,,8064,19,69,1,43
53410,-50.0,,8196,19,70,1,41
55564,-51.4,,8313,19,72,1,38
57086,-52.3,,8422,19,73,1,36
56135,-54.0,,8564,19,77,1,40
56233,-55.0,,8723,19,77,1,43
57507,-56.4,,8881,19,77,1,42
57963,-57.8,,9051,20,39,1,43
58690,-59.1,,9228,19,74,1,44
61172,-60.2,,9384,19,75,1,41
62015,-61.2,,9548,19,74,1,41
63928,-62.1,,9697,19,74,1,39
65135,-62.9,,9851,19,75,1,39
65452,-62.6,,10015,19,75,1,40
67081,-62.8,,10170,19,76,1,39
70563,-63.1,,10290,19,81,1,34
67845,-63.4,,10472,19,80,1,42
70018,-62.8,,10637,19,85,1,39
69163,-63.1,,10838,19,77,1,44
70947,-64.3,,11032,19,73,1,43
72750,-63.7,,11218,19,75,1,41
75839,-63.2,,11376,19,77,1,37
76017,-61.6,,11551,19,75,1,39
78364,-60.2,,11703,19,75,1,37
79567,-61.0,,11850,19,74,1,36
80057,-62.3,,12009,19,73,1,37
82389,-62.9,,12156,19,74,1,35
82610,-63.0,,12321,19,75,1,36
83437,-63.2,,12489,19,75,1,37
84539,-62.1,,12658,19,75,1,37
87753,-62.4,,12794,19,78,1,33
83317,-61.8,,13019,19,85,1,43
84896,-61.8,,13231,19,81,1,42
86792,-61.4,,13426,19,77,1,41
85178,-61.3,,13669,19,84,1,47
89097,-61.0,,13869,19,78,1,42
233,6.0,89.0,280,38,63,5,17
447,5.7,89.0,400,40,55,5,41
663,5.1,88.0,520,44,26,5,48
803,5.1,88.0,640,45,83,6,12
1094,4.6,87.0,761,46,40,5,55
1563,4.0,87.0,959,46,95,5,12
1981,3.9,87.0,1143,47,55,4,96
2158,3.7,87.0,1269,48,34,5,15
2432,2.8,86.0,1432,49,47,5,26
2700,1.9,85.0,1599,50,55,5,37
3010,1.0,85.0,1746,51,61,5,30
3373,0.2,86.0,1915,52,53,5,22
3747,-0.6,86.0,2100,53,48,5,20
4084,-1.1,86.0,2231,54,20,5,8
4423,-1.6,86.0,2390,54,84,5,5
4796,-2.8,86.0,2553,55,45,4,99
5217,-3.7,85.0,2731,55,94,4,92
5660,-4.5,85.0,2895,56,43,4,82
6023,-5.2,85.0,3066,56,85,4,81
6452,-5.7,85.0,3252,57,26,4,77
6961,-6.6,85.0,3487,57,65,4,76
7497,-7.7,85.0,3662,57,88,4,64
7959,-8.8,84.0,3880,58,30,4,64
8639,-10.0,83.0,4043,58,56,4,45
9571,-10.9,82.0,4191,58,95,4,15
10353,-11.8,81.0,4328,58,98,3,96
10744,-12.9,80.0,4472,59,23,3,94
11258,-14.1,78.0,4617,59,32,3,89
11619,-15.6,76.0,4768,59,41,3,89
12022,-16.8,75.0,4927,59,38,3,89
12556,-17.8,74.0,5087,59,47,3,85
12533,-19.2,73.0,5261,59,64,4,0
12951,-20.8,72.0,5431,59,82,4,0
13358,-22.3,71.0,5597,0,0,4,0
13754,-23.6,70.0,5758,0,19,4,0
14709,-24.8,69.0,5899,0,33,3,83
15199,-26.5,68.0,6073,0,50,3,82
15347,-28.3,67.0,6274,0,28,3,91
15865,-29.4,66.0,6474,0,15,3,91
16636,-30.7,66.0,6666,0,19,3,84
17120,-32.3,65.0,6855,0,5,3,84
17747,-33.7,64.0,7041,0,11,3,80
17985,-35.3,63.0,7231,0,18,3,86
18309,-36.5,62.0,7430,0,15,3,90
19194,-38.0,62.0,7610,0,22,3,81
19493,-39.7,62.0,7796,0,29,3,84
19655,-41.1,,7993,0,36,3,90
19808,-42.7,,8203,0,45,3,98
20087,-44.2,,8423,0,50,4,4
20768,-45.7,,8634,0,56,4,0
21158,-47.3,,8853,0,62,4,3
21868,-48.8,,9060,0,64,3,99
22003,-50.4,,9285,0,63,4,7
22643,-52.2,,9511,0,62,4,5
23374,-53.5,,9733,0,51,4,2
23495,-55.0,,9985,0,59,4,11
25514,-56.7,,10157,0,25,3,83
25469,-58.2,,10369,0,43,3,93
26303,-59.4,,10578,0,58,3,87
26532,-60.4,,10812,0,73,3,93
27721,-61.3,,11027,0,86,3,83
28993,-61.7,,11223,0,92,3,72
29496,-62.3,,11438,0,99,3,73
29788,-63.7,,11669,1,7,3,77
31143,-64.5,,11885,1,3,3,67
32626,-64.7,,12081,0,98,3,55
32626,-65.9,,12313,1,4,3,63
319,3.1,50.0,304,8,98,4,14
678,1.9,50.0,438,8,21,3,88
982,0.9,50.0,572,8,21,4,3
1490,-0.2,50.0,706,8,96,3,52
1843,-0.8,50.0,841,9,33,3,56
2252,-2.3,50.0,985,9,63,3,53
2593,-3.3,50.0,1114,9,73,3,56
2980,-3.5,50.0,1297,9,60,3,70
3348,-4.6,50.0,1467,9,44,3,80
3859,-5.3,50.0,1647,9,17,3,75
4505,-4.4,50.0,1776,9,30,3,48
5060,-4.6,50.0,1885,9,32,3,30
5624,-4.6,50.0,2026,9,47,3,21
6155,-4.9,50.0,2172,9,60,3,16
6587,-5.6,50.0,2286,9,76,3,12
7123,-6.4,50.0,2482,9,85,3,16
7611,-7.5,50.0,2624,9,96,3,13
8080,-8.8,50.0,2765,10,11,3,12
8566,-9.8,50.0,2926,10,22,3,13
8991,-10.6,50.0,3063,10,31,3,13
9425,-11.6,50.0,3190,10,41,3,11
9930,-12.7,50.0,3355,10,56,3,12
10276,-13.8,50.0,3471,10,60,3,12
10780,-14.8,50.0,3619,10,71,3,11
11312,-16.1,50.0,3770,10,78,3,9
11796,-17.3,50.0,3918,10,85,3,9
12302,-18.4,50.0,4063,10,92,3,8
12844,-19.5,50.0,4211,11,0,3,6
12969,-20.7,50.0,4367,10,93,3,15
13597,-21.9,50.0,4518,11,4,3,11
14171,-22.9,50.0,4668,11,16,3,8
14843,-24.3,50.0,4807,11,27,3,3
15171,-25.5,50.0,4953,11,31,3,6
15376,-26.9,50.0,5111,11,33,3,12
83,2.0,50.0,208,5,28,4,54
304,1.1,50.0,246,5,34,2,42
528,1.2,50.0,284,5,86,2,8
745,1.1,50.0,322,5,67,1,97
1853,0.8,50.0,361,5,16,0,98
2189,0.3,50.0,388,5,54,0,95
2574,0.2,50.0,462,5,81,1,8
2947,-0.4,50.0,505,6,12,1,9
3385,-1.0,50.0,564,6,68,1,11
3644,-1.7,50.0,608,6,96,1,15
3988,-2.5,50.0,637,7,16,1,12
4324,-3.1,50.0,799,6,94,1,39
4604,-3.5,50.0,812,7,37,1,34
4999,-4.0,50.0,843,7,48,1,29
5273,-4.8,50.0,930,7,59,1,38
5467,-5.4,50.0,1082,7,95,1,60
5836,-6.3,50.0,1192,8,18,1,68
6039,-7.1,50.0,1291,8,30,1,78
6239,-7.5,50.0,1429,8,35,1,94
6518,-8.3,50.0,1466,8,53,1,91
6784,-9.4,50.0,1602,8,64,2,3
7154,-10.0,50.0,1651,8,83,1,99
7433,-11.0,50.0,1746,8,84,2,4
7743,-12.2,50.0,1810,8,91,2,4
7679,-13.2,50.0,1890,8,85,2,16
8416,-14.1,50.0,1962,8,99,2,5
8673,-15.2,50.0,2036,9,5,2,7
8883,-16.4,50.0,2123,9,11,2,12
9652,-17.3,50.0,2193,9,34,2,2
10101,-18.4,50.0,2263,9,44,1,99
10097,-19.5,50.0,2343,9,33,2,7
10980,-20.6,50.0,2412,9,46,1,96
11494,-21.7,50.0,2482,9,58,1,93
12352,-22.8,50.0,2535,9,61,1,84
13438,-24.0,50.0,2584,9,69,1,73
13582,-24.9,50.0,2637,9,71,1,74
14169,-26.2,50.0,2686,9,76,1,71
14049,-27.4,50.0,2740,9,58,1,76
15264,-28.7,50.0,2779,9,61,1,64
16856,-30.1,50.0,2799,9,74,1,50
18927,-31.4,50.0,2796,9,81,1,33
18031,-32.4,50.0,2810,9,52,1,40
19961,-33.4,50.0,2797,9,57,1,26
20747,-34.6,50.0,2783,9,46,1,21
20329,-35.8,50.0,2781,9,30,1,23
19915,-37.2,50.0,2791,8,97,1,26
22856,-38.5,50.0,2772,9,7,1,9
24808,-39.4,50.0,2737,9,14,0,99
24547,-40.8,,2705,9,13,0,99
23503,-41.6,,2682,9,3,1,2
22882,-42.6,,2668,8,92,1,4
279,3.0,50.0,311,2,96,5,5
577,1.7,50.0,452,4,0,4,87
1041,0.9,50.0,593,4,31,3,99
1312,0.2,50.0,734,4,22,4,24
1693,0.0,50.0,874,4,78,4,10
2003,-0.1,50.0,986,5,51,4,1
2356,-0.8,50.0,1144,5,68,4,7
2639,-1.5,50.0,1289,5,68,4,18
2908,-1.7,50.0,1402,5,82,4,18
3230,-2.4,50.0,1524,6,4,4,13
3528,-2.7,50.0,1655,6,34,4,15
3759,-3.3,50.0,1798,6,35,4,28
3958,-3.6,50.0,1911,6,54,4,35
4157,-4.7,50.0,2025,6,55,4,42
4441,-5.7,50.0,2203,6,53,4,54
4738,-5.9,50.0,2364,6,73,4,60
5105,-6.8,50.0,2512,7,24,4,55
5459,-7.5,50.0,2655,7,62,4,51
5753,-9.2,50.0,2822,7,81,4,57
6039,-10.7,50.0,2931,7,97,4,54
