0,50         44-05         8-52         91         3,9          58          230   P
1,00         46-58         10-47         217         4,4          57          353
1,50         42-04         10-56         353         5,8          51          475
2,00         38-37         10-17         500         4,9          46          598
2,50         37-33         9-26         679         4,5          42          720
3,00         36-86         8-33         1078         3,8          41          986
3,50         36-01         7-54         1311         3,5          38          1091
4,00         35-88         6-71         1722         3,5          36          1273
4,50         36-15         6-17         2156         2,8          37          1459
5,00         36-23         5-79         2634         2,6          35          1661
5,50         36-36         5-42         3077         1,7          33          1815
6,00         36-54         5-08         3557         1,1          31          1964
6,50         36-48         4-88         4083         -0,3          32          2158
7,00         36-47         4-67         4733         -1,6          34          2381
7,50         36-36         4-47         5175         -2,9          36          2497
8,00         36-15         4-35         5741         -3,8          37          2685
8,50         36-14         4-21         6292         -4,6          36          2847
9,00         36-14         4-07         6916         -5,5          35          3017
9,50         36-24         3-98         7467         -6,6          33          3181
10,00         36-26         3-87         8198         -7,6          32          3392
10,50         36-33         3-79         8717         -8,7          31          3531
11,00         36-35         3-72         9333         -9,5          31          3702
11,50         36-40         3-62         10058         -10,4          31          3884
12,00         36-43         3-53         10781         -11,5          31          4053
12,50         36-46         3-42         11584         -12,8          31          4220
13,00         36-50         3-39         12175         -13,8          32          4391
13,50         36-54         3-34         12833         -15,0          33          4560
14,00         36-59         3-32         13416         -16,4          34          4727
14,50         36-58         3-31         13942         -17,7          35          4897
15,00         36-59         3-23         14752         -18,9          35          5060
15,50         36-58         3-22         15310         -20,2          35          5226
16,00         36-60         3-22         15834         -21,6          35          5392
16,50         36-65         3-23         16277         -22,9          35          5562
17,00         36-68         3-18         17059         -24,1          35          5729
17,50         36-66         3-18         17576         -25,5          36          5898
18,00         36-68         3-17         18133         -26,8          36          6072
18,50         36-68         3-13         18907         -28,1          37          6242
19,00         36-75         3-11         19551         -28,9          36          6410
19,50         36-74         3-09         20154         -29,9          36          6583
20,00         36-79         3-04         20964         -31,1          35          6752
20,50         36-78         3-07         21366         -32,7          35          6929
21,00         36-85         3-07         21926         -34,1          35          7105
21,50         36-89         3-05         22610         -35,3          35          7283
22,00         36-92         3-04         23211         -36,5          35          7460
22,50         37-02         3-04         23812         -37,8          35          7641
23,00         36-94         3-00         24629         -39,1          35          7815
23,50         36-93         2-99         25284         -40,4                       7989
24,00         37-03         2-99         25852         -41,9                       8163
24,50         36-99         3-02         26231         -43,2                       8348
25,00         36-99         2-97         27221         -44,5                       8519
25,50         37-00         2-95         27924         -45,8                       8688
26,00         37-05         2-95         28488         -47,0                       8859
26,50         37-06         2-96         28944         -48,2                       9034
27,00         37-04         2-92         29871         -49,6                       9198
27,50         37-06         2-92         30413         -50,6                       9363
28,00         37-12         2-88         31387         -51,9                       9519
28,50         37-13         2-88         31899         -52,7                       9677
29,00         37-14         2-89         32271         -54,0                       9842
29,50         37-15         2-90         32775         -55,4                       10013
30,00         37-15         2-88         33505         -56,9                       10179
30,50         37-18         2-89         33956         -58,0                       10351
31,00         37-17         2-88         34705         -59,2                       10518
31,50         37-19         2-86         35374         -60,6                       10678
32,00         37-22         2-85         36110         -61,6                       10837
32,50         37-17         2-87         36395         -62,9                       11006
33,00         37-22         2-86         37098         -64,1                       11170
33,50         37-25         2-86         37590         -65,1                       11340
34,00         37-26         2-85         38258         -66,0                       11506
34,50         37-26         2-86         38737         -67,0                       11675
