0,50         25-12         4-07         466         4,4          86          260   P
1,00         24-28         4-49         645         3,4          87          359
1,50         24-54         4-33         893         4,1          88          459
2,00         24-47         5-55         895         4,6          88          558
2,50         25-17         5-71         1049         4,7          88          658
3,00         25-65         6-16         1161         5,2          88          765
3,50         25-83         6-50         1330         4,8          87          904
4,00         25-96         7-23         1441         4,6          86          1057
4,50         25-77         8-11         1510         3,7          85          1200
5,00         25-49         9-15         1506         3,1          85          1299
5,50         24-43         10-74         1509         2,6          84          1428
6,00         23-71         12-60         1579         1,9          83          1596
6,50         23-99         14-81         1692         0,8          79          1759   P
7,00         25-63         14-69         1889         0,4          77          1955
7,50         24-65         14-63         2422         -0,5          74          2487
8,00         25-30         14-62         951         -1,1          72          1018
