0,50         49-74         8-05         106         28,9          33          223   P
1,00         51-27         7-05         234         26,9          34          302
1,50         52-25         6-77         364         25,4          35          381
2,00         52-43         6-39         509         24,2          36          460
2,50         51-83         6-21         651         23,0          37          538
3,00         51-95         6-00         871         21,9          38          656
3,50         52-05         5-74         1089         20,9          38          760
4,00         51-90         5-87         1277         20,0          39          880
4,50         51-97         5-73         1485         18,9          40          982
5,00         51-90         5-59         1718         17,8          41          1094
5,50         51-75         5-55         1931         16,8          42          1204
6,00         51-84         5-32         2120         16,0          43          1265
6,50         51-79         5-30         2286         15,4          43          1349
7,00         51-72         5-29         2481         14,6          44          1449
7,50         51-72         5-35         2699         13,2          45          1577
8,00         51-72         5-27         2918         12,0          46          1673
8,50         51-58         5-34         3101         11,1          48          1789
9,00         51-54         5-35         3275         10,0          49          1884
9,50         51-42         5-38         3454         8,9          51          1988
10,00         51-34         5-41         3700         7,9          52          2129
10,50         51-26         5-52         3839         6,5          53          2241
11,00         51-24         5-56         4075         5,1          54          2386
11,50         51-22         5-60         4268         3,7          56          2505   P
12,00         51-15         5-66         4414         2,9          54          2611   P
12,50         51-15         5-81         4522         2,1          52          2727   P
13,00         51-19         5-91         4658         1,2          50          2844
13,50         51-04         6-03         4781         -0,2          51          2966
14,00         50-89         6-12         4929         -1,7          53          3091
14,50         50-89         6-22         5070         -2,9          55          3218
15,00         50-82         6-39         5169         -4,1          56          3350
15,50         50-85         6-47         5328         -5,3          57          3484
16,00         51-05         6-59         5453         -6,8          57          3615
16,50         51-24         6-71         5569         -8,1          57          3744
17,00         51-44         6-84         5682         -9,2          58          3873
17,50         51-64         6-96         5792         -10,0          58          4001
18,00         51-80         7-09         5905         -10,8          59          4137   P
18,50         52-21         7-29         5981         -11,3          59          4278
19,00         52-16         7-47         6072         -10,9          53          4424
19,50         52-19         7-46         6278         -11,8          45          4566
20,00         52-24         7-50         6454         -12,7          40          4706
20,50         52-40         7-56         6611         -13,4          37          4849
21,00         52-65         7-53         6825         -14,1          34          4984
21,50         52-83         7-66         6935         -15,0          32          5128
22,00         52-94         7-61         7165         -15,9          32          5269
22,50         53-19         7-60         7366         -17,0          32          5407
23,00         53-56         7-58         7575         -18,1          33          5547
23,50         53-80         7-55         7791         -19,1          34          5685
24,00         53-89         7-64         7920         -19,9          33          5827   P
24,50         54-35         7-57         8169         -20,9          31          5961
25,00         54-47         7-54         8377         -21,8          30          6095
25,50         54-51         7-55         8559         -22,6          31          6228
26,00         54-76         7-52         8770         -23,3          32          6360
26,50         54-90         7-55         8925         -24,1          32          6488
27,00         55-11         7-55         9106         -25,0          33          6616
27,50         55-34         7-56         9282         -26,2          35          6746
28,00         55-54         7-54         9470         -26,8          36          6871
28,50         55-75         7-59         9598         -27,4          36          6995
29,00         55-85         7-55         9806         -28,3          35          7115
29,50         56-05         7-52         9998         -28,9          34          7231
30,00         56-29         7-51         10176         -29,7          34          7348
30,50         56-45         7-52         10324         -30,5          33          7461
31,00         56-59         7-55         10477         -31,8          33          7590
31,50         56-81         7-55         10633         -32,6          32          7702
32,00         57-05         7-59         10754         -33,8          31          7820
32,50         57-22         7-64         10856         -34,9          31          7933
33,00         57-38         7-73         10932         -36,1          30          8056
33,50         57-53         7-80         11031         -37,1          30          8184
34,00         57-57         7-80         11208         -38,2          30          8312
34,50         57-75         7-83         11356         -39,3          29          8443
35,00         57-80         7-82         11533         -40,3                       8571
35,50         57-89         7-80         11738         -41,3                       8698
36,00         57-99         7-78         11931         -42,4                       8825
36,50         58-10         7-82         12063         -43,4                       8955
37,00         58-14         7-78         12285         -44,6                       9082
37,50         58-23         7-74         12507         -45,6                       9207
38,00         58-32         7-70         12729         -46,6                       9327
38,50         58-49         7-65         12963         -47,7                       9453
39,00         58-69         7-65         13136         -48,4                       9573   P
39,50         58-90         7-71         13235         -48,9                       9702
40,00         59-05         7-53         13633         -49,4                       9814
40,50         59-10         7-50         13830         -50,4                       9920
41,00         59-19         7-54         13932         -51,0                       10035
41,50         59-45         7-56         14068         -51,2                       10154
42,00         59-81         7-56         14239         -50,4                       10276
42,50         0-33         7-55         14429         -49,4                       10402
43,00         0-83         7-53         14640         -50,0                       10526
43,50         1-36         7-36         15075         -50,4                       10645
44,00         1-83         7-25         15428         -50,0                       10762
44,50         2-14         7-28         15565         -50,5                       10888
45,00         2-67         7-15         15968         -50,2                       11008
45,50         3-04         7-02         16373         -49,2                       11122
46,00         3-29         6-97         16638         -49,3                       11233
46,50         3-55         6-91         16905         -48,5                       11342   P
47,00         3-90         6-87         17194         -47,8                       11480
47,50         4-00         6-77         17604         -48,1                       11606
48,00         4-17         6-68         18014         -48,7                       11736
48,50         4-34         6-53         18557         -49,1                       11863
49,00         4-59         6-40         19049         -49,3                       11983
49,50         4-85         6-20         19774         -49,4                       12091
50,00         5-07         6-09         20218         -49,4                       12203
50,50         5-30         6-01         20655         -49,2                       12318
51,00         5-55         5-92         21138         -49,6                       12438
51,50         5-75         5-80         21714         -50,1                       12563
52,00         5-82         5-80         21976         -50,4                       12701
52,50         5-98         5-68         22616         -50,5                       12831
53,00         6-13         5-57         23203         -50,3                       12951
53,50         6-13         5-50         23700         -50,7                       13075
54,00         6-29         5-31         24659         -50,6                       13187
54,50         6-31         5-29         24986         -50,4                       13317
55,00         6-42         5-23         25481         -50,8                       13441
55,50         6-44         5-17         25978         -51,1                       13562
56,00         6-50         5-10         26512         -51,4                       13679
56,50         6-53         5-07         26936         -51,4                       13814   P
57,00         6-77         4-96         27746         -51,7                       13946
57,50         6-88         4-96         28046         -52,1                       14098
58,00         6-87         4-95         28364         -52,8                       14241
58,50         6-89         4-93         28734         -53,3                       14371
59,00         6-93         4-87         29328         -53,4                       14498   P
59,50         7-15         4-81         29964         -53,8                       14639
60,00         7-19         4-74         30599         -53,9                       14765
60,50         7-15         4-78         30667         -54,8                       14903
61,00         7-08         4-81         30778         -54,7                       15054
61,50         7-09         4-79         31231         -56,1                       15200
62,00         7-10         4-76         31678         -57,2                       15341
62,50         7-11         4-74         32118         -57,9                       15477
63,00         7-12         4-71         32552         -58,2                       15607
63,50         7-13         4-69         32979         -57,9                       15732
64,00         7-14         4-66         33401         -56,6                       15853
64,50         7-17         4-61         33962         -54,9                       15966   P
65,00         7-22         4-61         34225         -56,2                       16102   P
65,50         7-26         4-56         34921         -56,9                       16249
66,00         7-26         4-64         34781         -56,7                       16444
66,50         7-29         4-60         35398         -56,3                       16606
67,00         7-17         4-71         35004         -55,0                       16783
67,50         7-12         4-75         35142         -54,8                       16958
68,00         7-10         4-71         35754         -55,4                       17121
68,50         7-04         4-75         35857         -56,1                       17302
69,00         7-01         4-74         36269         -56,4                       17481
69,50         7-01         4-74         36649         -56,2                       17659   P
70,00         7-06         4-76         36843         -55,1                       17833
70,50         7-07         4-73         37400         -54,8                       17983
71,00         7-12         4-68         38033         -54,9                       18127   P
71,50         7-00         4-82         37423         -54,7                       18307
72,00         7-03         4-77         38069         -55,1                       18445
72,50         7-01         4-86         37757         -55,8                       18592
73,00         6-98         4-88         37885         -56,2                       18729   P
73,50         7-06         4-79         38725         -55,8                       18819
74,00         6-91         4-93         37966         -55,9                       18945
74,50         7-03         4-82         38895         -55,7                       19022   P
75,00         6-99         4-89         38568         -54,3                       19114
75,50         6-87         4-95         38342         -54,8                       19217
76,00         6-87         4-91         38806         -55,7                       19294
76,50         6-66         5-07         37919         -55,6                       19415
77,00         6-67         5-06         38227         -55,2                       19516
77,50         6-65         5-05         38439         -54,6                       19603
78,00         6-54         5-13         38106         -54,2                       19707   P
78,50         6-42         5-18         38016         -54,6                       19816
79,00         6-33         5-21         38016         -54,6                       19925
79,50         6-26         5-23         38065         -54,2                       20031
80,00         6-18         5-24         38191         -54,2                       20129
80,50         6-12         5-27         38168         -53,7                       20228
81,00         6-06         5-31         38148         -53,1                       20327
81,50         6-01         5-34         38131         -53,1                       20428
82,00         5-95         5-37         38118         -52,8                       20531
82,50         5-89         5-40         38106         -52,5                       20634
83,00         5-83         5-44         38098         -52,3                       20739
83,50         5-77         5-47         38094         -52,1                       20845
84,00         5-73         5-50         38083         -51,7                       20958
84,50         5-73         5-54         38075         -51,5                       21086
85,00         5-83         5-45         38807         -51,2                       21182
85,50         5-80         5-51         38689         -51,7                       21303   P
86,00         5-80         5-54         38790         -52,6                       21456   P
86,50         5-70         5-65         38508         -52,9                       21680
87,00         5-61         5-73         39976         -53,1                       22800
87,50         5-51         5-78         40161         -52,9                       23066
88,00         5-52         5-77         40698         -53,3                       23334
88,50         5-43         5-85         40665         -53,9                       23595
89,00         5-34         5-91         40699         -53,8                       23831
89,50         5-27         5-94         40908         -53,2                       24033
90,00         5-24         5-93         41216         -52,6                       24194
90,50         5-24         5-97         41243         -51,7                       24334
