0,50         56-18         5-50         290         19,9          77          263   P
1,00         57-18         6-21         447         21,1          75          376
1,50         58-24         6-37         620         20,2          74          489
2,00         58-26         6-16         826         19,2          72          602
2,50         57-44         6-22         1005         18,2          72          714
3,00         57-60         5-99         1329         17,2          71          885
3,50         57-61         5-84         1621         16,2          71          1036
4,00         57-55         5-71         1967         15,0          71          1212
4,50         57-28         5-64         2302         14,3          71          1388
5,00         56-95         5-65         2584         12,9          72          1547
5,50         56-83         5-59         2959         11,4          73          1741
6,00         56-75         5-53         3302         10,3          74          1912
6,50         56-68         5-47         3630         9,6          74          2073
7,00         56-67         5-44         3983         8,2          74          2254
7,50         56-73         5-34         4333         7,0          75          2406
8,00         56-71         5-33         4560         5,9          76          2521
8,50         56-68         5-28         4925         5,2          77          2692
9,00         56-64         5-23         5285         3,8          77          2857
9,50         56-66         5-22         5654         2,7          77          3046
10,00         56-63         5-20         5965         2,1          77          3194
10,50         56-60         5-15         6270         0,8          76          3326
11,00         56-60         5-09         6712         -0,5          76          3515
11,50         56-58         5-11         6970         -0,8          75          3661
12,00         56-63         5-07         7326         0,1          70          3813
12,50         56-68         5-03         7691         -1,2          66          3969
13,00         56-72         4-96         8095         -2,1          62          4127
13,50         56-83         4-84         8581         -2,7          58          4272
14,00         56-92         4-80         8967         -3,2          53          4421
14,50         57-04         4-76         9352         -4,3          50          4573
15,00         57-16         4-72         9731         -6,0          50          4723
15,50         57-23         4-72         10052         -6,8          52          4870
16,00         57-31         4-67         10467         -7,3          50          5027
16,50         57-41         4-70         10730         -8,2          49          5179
17,00         57-53         4-66         11137         -9,3          49          5331
17,50         57-56         4-68         11421         -10,6          51          5485
18,00         57-62         4-66         11789         -11,5          53          5635
18,50         57-69         4-67         12100         -12,7          55          5786
19,00         57-85         4-66         12426         -13,6          56          5936
19,50         57-96         4-68         12704         -14,7          57          6084
20,00         58-06         4-71         12964         -16,1          58          6239
20,50         58-18         4-73         13216         -17,3          58          6386
21,00         58-27         4-71         13576         -18,7          58          6535
21,50         58-38         4-75         13770         -19,6          58          6678
22,00         58-41         4-77         14022         -20,7          58          6820
22,50         58-52         4-76         14322         -22,3          57          6957
23,00         58-56         4-80         14520         -23,5          57          7096
23,50         58-68         4-82         14735         -24,9          56          7231
24,00         58-81         4-83         14993         -26,3          56          7364
24,50         58-96         4-80         15321         -27,6          56          7489
25,00         59-13         4-78         15641         -28,9          56          7613
25,50         59-32         4-76         15929         -30,2          56          7725
26,00         59-53         4-80         16062         -31,6          55          7848
26,50         59-76         4-88         16090         -33,1          55          7982
27,00         59-98         4-89         16396         -34,5          55          8139
27,50         0-25         4-94         16575         -35,9          55          8299
28,00         0-64         5-08         16486         -37,4          54          8464
28,50         0-81         5-04         16926         -38,3          54          8625
29,00         0-97         5-07         17165         -39,5          54          8792
29,50         1-13         5-02         17653         -40,9                       8956
30,00         1-29         5-04         17900         -42,0                       9125
30,50         1-45         5-01         18331         -43,1                       9289
31,00         1-61         4-99         18735         -44,3                       9452
31,50         1-73         4-94         19192         -45,3                       9601
32,00         1-86         4-94         19488         -46,1                       9746
32,50         1-98         4-94         19780         -46,8                       9891
33,00         2-06         4-93         20077         -47,7                       10035
33,50         2-12         4-94         20357         -49,1                       10184
34,00         2-22         4-92         20714         -49,3                       10331
34,50         2-37         4-90         21082         -47,9                       10478
35,00         2-53         4-90         21395         -46,9                       10622
35,50         2-68         4-89         21747         -46,5                       10772
36,00         2-86         4-88         22062         -46,9                       10917
36,50         3-03         4-88         22362         -46,4                       11070
37,00         3-20         4-86         22775         -46,3                       11219
37,50         3-39         4-85         23108         -46,4                       11370
38,00         3-58         4-85         23440         -45,7                       11520
38,50         3-79         4-84         23758         -45,9                       11663
39,00         3-98         4-85         24040         -45,9                       11813
39,50         4-17         4-81         24494         -45,4                       11957
40,00         4-35         4-81         24803         -45,4                       12096
40,50         4-51         4-78         25194         -46,0                       12232
41,00         4-65         4-78         25521         -46,5                       12372
41,50         4-82         4-74         25975         -47,1                       12499
42,00         4-97         4-73         26294         -48,1                       12638
42,50         5-13         4-74         26572         -48,8                       12790
43,00         5-28         4-71         27009         -49,1                       12930
43,50         5-45         4-68         27447         -49,0                       13065
44,00         5-56         4-68         27788         -49,6                       13209
44,50         5-71         4-65         28230         -50,2                       13355
45,00         5-83         4-65         28564         -50,4                       13507
45,50         6-00         4-61         29122         -51,1                       13654
46,00         6-12         4-58         29571         -51,3                       13798
46,50         6-24         4-57         29937         -52,3                       13942
47,00         6-33         4-58         30229         -52,1                       14089
47,50         6-45         4-53         30830         -52,6                       14224
48,00         6-55         4-52         31187         -52,4                       14360
48,50         6-65         4-49         31673         -52,5                       14491
49,00         6-75         4-48         32013         -52,5                       14625
49,50         6-88         4-45         32513         -52,5                       14756
50,00         6-94         4-47         32697         -52,6                       14899
50,50         7-05         4-44         33198         -53,0                       15038
51,00         7-09         4-46         33356         -53,3                       15189
51,50         7-16         4-45         33796         -53,6                       15338
52,00         7-22         4-44         34165         -53,8                       15487
52,50         7-25         4-46         34397         -54,2                       15643
53,00         7-27         4-48         34629         -54,3                       15807
53,50         7-32         4-49         34915         -54,9                       15974
54,00         7-32         4-50         35205         -55,1                       16143
54,50         7-33         4-54         35280         -54,8                       16328
55,00         7-36         4-55         35638         -55,2                       16511
55,50         7-36         4-55         36026         -54,8                       16690
56,00         7-39         4-58         36219         -54,7                       16875   P
56,50         7-40         4-59         36535         -54,8                       17060
57,00         7-34         4-63         36632         -55,1                       17256
57,50         7-33         4-65         36923         -56,0                       17454
58,00         7-33         4-63         37447         -56,1                       17642
58,50         7-28         4-70         37380         -55,4                       17851
59,00         7-25         4-73         37649         -55,1                       18064
59,50         7-24         4-79         37716         -54,6                       18291
60,00         7-25         4-83         37877         -54,3                       18526
60,50         7-27         4-85         38208         -54,5                       18759
61,00         7-27         4-88         38464         -53,8                       18993
61,50         7-21         4-92         38665         -53,3                       19232
62,00         7-17         4-94         39004         -53,6                       19468
62,50         7-13         4-96         39335         -54,1                       19702
63,00         7-09         4-98         39660         -54,1                       19933
63,50         7-04         5-00         39976         -53,7                       20161
64,00         7-00         5-02         40285         -54,0                       20387
64,50         6-96         5-04         40587         -53,9                       20610
65,00         6-92         5-06         40882         -53,9                       20830
65,50         6-88         5-08         41168         -54,0                       21047
66,00         6-84         5-10         41447         -53,5                       21261
66,50         6-80         5-11         41720         -53,3                       21473
67,00         6-76         5-13         41986         -53,1                       21683
67,50         6-72         5-15         42248         -52,1                       21890
68,00         6-68         5-17         42502         -52,0                       22095
68,50         6-64         5-19         42750         -51,5                       22297
69,00         6-60         5-21         42992         -51,9                       22498
69,50         6-56         5-23         43230         -52,0                       22696
70,00         6-51         5-25         43461         -51,4                       22892
70,50         6-47         5-27         43685         -51,5                       23085
71,00         6-43         5-29         43902         -54,1                       23275
71,50         6-39         5-31         44113         -56,5                       23462
72,00         6-35         5-33         44318         -58,9                       23647
72,50         6-31         5-35         44518         -61,2                       23829
73,00         6-27         5-37         44711         -63,4                       24009
73,50         6-23         5-38         44900         -65,4                       24187
74,00         6-19         5-40         45085         -67,4                       24364
74,50         6-15         5-42         45268         -69,1                       24539
75,00         6-11         5-44         45447         -70,7                       24713
75,50         6-07         5-46         45623         -72,1                       24886
76,00         6-03         5-48         45797         -73,4                       25059
76,50         5-99         5-50         45970         -74,4                       25232
77,00         5-94         5-52         46143         -75,1                       25404
77,50         5-90         5-54         46314         -75,6                       25576
78,00         5-86         5-56         46483         -75,8                       25749
78,50         5-82         5-58         46654         -75,6                       25922
79,00         5-78         5-60         46825         -75,1                       26095
79,50         5-74         5-62         46995         -74,0                       26269
80,00         5-70         5-64         47166         -72,4                       26444
80,50         5-66         5-66         47338         -70,1                       26619
81,00         5-62         5-67         47510         -67,0                       26795
81,50         5-58         5-69         47683         -62,6                       26972
82,00         5-54         5-71         47857         -56,6                       27151
82,50         5-50         5-73         48034         -47,3                       27331
83,00         5-46         5-75         48211         -46,4                       27512
83,50         5-41         5-77         48390         -52,3                       27695
84,00         5-37         5-79         48572         -56,6                       27879
84,50         5-33         5-81         48755         -58,3                       28065
85,00         5-30         5-68         49945         -57,0                       28171
