0,50         20-19         8-02         155         12,8          56          214   P
1,00         23-13         7-65         326         12,3          50          333
1,50         23-85         7-31         510         11,2          49          452
2,00         24-24         7-05         702         10,0          50          571
2,50         23-91         6-79         907         8,8          49          691
3,00         24-13         6-70         1165         7,6          49          851
3,50         24-27         6-55         1386         6,3          50          977
4,00         24-45         6-35         1644         5,0          51          1114
4,50         24-56         6-23         1927         3,7          52          1269
5,00         24-75         6-03         2258         2,4          57          1431
5,50         24-89         6-00         2552         1,1          59          1599
6,00         24-99         5-88         2845         -0,3          63          1741
6,50         24-94         5-86         3144         -1,7          66          1911
7,00         25-02         5-81         3375         -3,0          68          2029
7,50         24-91         5-89         3674         -3,7          65          2223
8,00         24-84         5-94         4009         -5,0          62          2436
8,50         24-92         5-89         4158         -6,4          61          2503
9,00         24-99         5-85         4402         -7,8          62          2631
9,50         25-09         5-78         4686         -9,2          65          2765
10,00         25-11         5-68         5110         -10,4          67          2961
10,50         25-16         5-57         5384         -11,7          70          3065
11,00         25-28         5-48         5775         -12,6          72          3232
11,50         25-14         5-57         6074         -9,5          60          3443
12,00         24-97         5-59         6315         -9,0          45          3588
12,50         24-80         5-58         6588         -9,9          36          3732
13,00         24-59         5-59         6856         -10,4          31          3887
13,50         24-39         5-58         7140         -11,4          29          4040
14,00         24-22         5-57         7441         -12,1          30          4196
14,50         23-97         5-52         7771         -13,0          29          4346
15,00         23-75         5-49         8088         -14,2          32          4499
15,50         23-47         5-49         8378         -15,5          34          4655
16,00         23-18         5-41         8771         -16,8          37          4807
16,50         22-91         5-36         9131         -17,5          39          4958
17,00         22-59         5-31         9495         -18,2          38          5108
17,50         22-22         5-25         9880         -18,6          37          5259
18,00         21-82         5-12         10393         -19,5          36          5405
18,50         21-48         5-06         10804         -20,6          35          5559
19,00         21-21         4-97         11282         -21,3          35          5704
19,50         20-95         4-91         11705         -22,2          33          5851
20,00         20-69         4-82         12208         -23,3          32          6005
20,50         20-36         4-74         12734         -24,5          34          6160
21,00         20-08         4-67         13218         -25,6          37          6308
21,50         19-80         4-58         13764         -26,9          39          6449
22,00         19-51         4-50         14315         -28,1          42          6593
22,50         19-22         4-44         14808         -29,5          45          6736
23,00         18-97         4-36         15374         -30,5          47          6879
23,50         18-71         4-27         15998         -31,5          50          7022
24,00         18-50         4-20         16606         -32,6          52          7164
24,50         18-27         4-15         17119         -33,6          54          7314
25,00         18-05         4-05         17866         -34,9          55          7458
25,50         17-83         3-97         18583         -36,0          56          7599
26,00         17-62         3-88         19310         -36,2          56          7738
26,50         17-46         3-84         19889         -37,2          55          7879
27,00         17-27         3-76         20598         -38,2          55          8021
