0,50         0-82         5-35         232         18,4          87          216   P
1,00         3-62         4-95         499         20,5          79          340
1,50         4-22         4-99         744         19,7          77          464
2,00         4-38         4-58         1072         18,7          77          588
2,50         4-11         4-66         1322         17,5          77          712
3,00         4-25         4-61         1667         16,2          78          867
3,50         4-53         4-56         1993         15,1          79          1010
4,00         4-72         4-47         2347         14,0          79          1151
4,50         4-83         4-44         2705         13,1          78          1307
5,00         4-91         4-40         3124         12,0          76          1481
5,50         4-99         4-38         3426         11,0          76          1609
6,00         4-97         4-42         3786         9,6          76          1784
6,50         5-10         4-41         4099         8,1          77          1918
7,00         5-22         4-39         4507         6,6          78          2092
7,50         5-29         4-39         4791         5,7          77          2218
8,00         5-36         4-39         5156         4,4          76          2382
8,50         5-37         4-43         5534         3,1          76          2568
9,00         5-46         4-40         5863         2,0          79          2699
9,50         5-42         4-47         6181         0,9          79          2880
10,00         5-43         4-46         6556         -0,2          78          3045
10,50         5-46         4-44         6893         -0,4          73          3183
11,00         5-61         4-42         7263         -0,9          64          3336
11,50         5-86         4-36         7633         -1,6          58          3457
12,00         6-06         4-32         8034         -2,0          58          3603
12,50         6-21         4-32         8375         -2,9          69          3751
13,00         6-39         4-27         8803         -3,7          76          3897
13,50         6-65         4-25         9182         -4,7          79          4048
14,00         6-92         4-21         9625         -5,9          82          4197
14,50         7-15         4-14         10105         -6,7          82          4342
15,00         7-29         4-13         10480         -8,2          83          4490
15,50         7-40         4-08         10957         -9,5          83          4638
16,00         7-51         4-07         11351         -11,1          82          4789
16,50         7-62         4-04         11820         -12,3          82          4942
17,00         7-66         4-03         12222         -13,5          83          5094
17,50         7-69         3-98         12734         -14,8          83          5245
18,00         7-79         3-97         13116         -15,9          85          5395
18,50         7-82         3-95         13570         -16,9          86          5547
19,00         7-93         3-94         13965         -17,5          86          5697
19,50         8-06         3-93         14387         -18,6          86          5844
20,00         8-19         3-93         14733         -19,5          86          5992
20,50         8-30         3-95         15052         -20,7          85          6143
21,00         8-39         3-92         15519         -21,9          84          6289
21,50         8-49         3-94         15821         -23,0          84          6443
22,00         8-58         3-91         16321         -24,3          83          6594
22,50         8-65         3-87         16881         -25,3          83          6743
23,00         8-75         3-80         17562         -26,5          83          6891
23,50         8-84         3-76         18131         -27,7          84          7040
24,00         8-89         3-68         18859         -29,1          84          7185
24,50         8-98         3-65         19427         -30,5          85          7334
25,00         9-02         3-61         20007         -31,8          85          7482
25,50         9-08         3-55         20668         -33,0          85          7626
26,00         9-11         3-49         21404         -34,2          85          7765
26,50         9-16         3-44         22094         -35,5          84          7911
27,00         9-27         3-37         22906         -36,7          84          8046
27,50         9-32         3-32         23684         -37,9          84          8188
28,00         9-40         3-23         24686         -39,3          84          8326
28,50         9-47         3-19         25401         -40,8                       8465
29,00         9-53         3-14         26244         -42,2                       8604
29,50         9-62         3-06         27333         -43,6                       8733
30,00         9-68         2-98         28378         -44,9                       8858
30,50         9-72         2-95         29095         -46,3                       8987
31,00         9-79         2-91         29945         -47,6                       9110
31,50         9-84         2-87         30717         -48,9                       9230
32,00         9-89         2-83         31499         -50,2                       9347
32,50         9-93         2-79         32287         -51,5                       9459
33,00         10-01         2-76         33139         -52,9                       9590
33,50         10-10         2-71         34116         -54,2                       9717
34,00         10-18         2-68         34954         -55,5                       9844
34,50         10-26         2-62         36201         -56,4                       9962
35,00         10-38         2-56         37326         -56,3                       10072
35,50         10-48         2-54         38176         -57,7                       10189
36,00         10-59         2-54         38648         -59,0                       10325
36,50         10-64         2-42         40959         -59,4                       10435
37,00         10-67         2-40         41715         -58,8                       10556
37,50         10-78         2-38         42495         -59,7                       10678
38,00         10-85         2-35         43462         -59,4                       10799
38,50         10-86         2-38         43569         -56,9                       10946
39,00         10-96         2-32         45222         -55,6                       11063
39,50         11-01         2-31         45729         -56,4                       11182
