0,50         13-10         8-24         174         21,8          71          228   P
1,00         11-84         7-90         359         22,3          61          360
1,50         11-64         8-00         533         21,1          57          492
2,00         11-74         9-07         649         20,0          53          624
2,50         12-55         9-14         807         18,5          54          756
3,00         13-22         9-13         954         17,1          55          876
3,50         13-95         9-20         1138         15,7          55          1031
4,00         14-73         9-36         1306         14,4          55          1181
4,50         15-28         9-65         1517         13,5          52          1381
5,00         15-76         9-70         1776         12,3          51          1605
5,50         15-61         9-77         1902         12,1          49          1720
6,00         15-63         9-96         2148         12,4          42          1953
6,50         15-55         10-62         2253         11,8          35          2116
7,00         15-56         11-09         2344         10,8          40          2246
7,50         15-43         11-58         2478         9,8          46          2417
8,00         14-80         11-85         2534         9,2          47          2493
8,50         14-49         12-62         2634         9,6          43          2649
9,00         14-40         13-24         2722         8,5          42          2772
9,50         14-37         13-87         2881         8,1          46          2957
10,00         13-97         14-61         2876         6,9          48          2970   P
10,50         13-79         14-57         2982         6,2          48          3075
11,00         42-86         14-45         289         5,3          48          385   P
11,50         59-74         14-38         473         3,2          50          568
12,00         57-37         14-30         540         2,1          51          634
12,50         58-98         14-22         662         0,6          52          755
13,00         8-74         14-14         1679         -0,6          53          1768
13,50         26-05         14-06         1864         -1,2          54          1951
14,00         25-06         13-98         3071         -1,6          53          3149
14,50         22-26         13-90         3313         -2,4          52          3387
15,00         23-76         13-82         4517         -3,4          50          4578
15,50         21-21         13-74         4791         -4,4          49          4845
16,00         21-28         13-66         5099         -5,3          47          5145
16,50         35-29         13-59         6315         -6,1          45          6342
17,00         41-40         13-51         6564         -7,2          44          6580
17,50         58-40         13-43         6738         -8,5          44          6743
18,00         5-26         13-35         6845         -9,8          43          6839
18,50         3-48         13-27         5976         -11,1          43          5974
19,00         34-60         13-19         6011         -12,3          43          6000
19,50         34-60         13-11         5098         -13,4          43          5095
20,00         34-60         13-03         5181         -14,8          42          5168
20,50         34-60         12-95         5354         -16,3          41          5328
21,00         34-60         12-87         5633         -17,5          41          5590
21,50         34-60         12-80         5882         -18,9          41          5822
22,00         34-60         12-72         6260         -20,2          41          6178
22,50         34-60         12-64         6616         -21,3          42          6510
23,00         34-60         12-56         6955         -22,6          42          6825
23,50         34-60         12-48         7280         -23,8          42          7124
24,00         34-60         12-40         7606         -25,0          41          7422
24,50         34-60         12-32         7915         -26,2          40          7701
25,00         34-60         12-24         8124         -27,4          39          7884
25,50         34-60         12-16         8352         -28,7          38          8083
26,00         34-60         12-09         8523         -30,3          37          8225
26,50         34-62         12-10         8677         -31,9          37          8375
27,00         34-77         12-28         8768         -33,6          36          8512
27,50         35-16         12-39         8854         -35,1          36          8622
28,00         35-64         12-63         8906         -36,7          36          8729
28,50         36-43         12-88         8967         -37,8          36          8843
29,00         37-79         13-17         9032         -38,6          36          8962
29,50         37-81         13-23         9209         -39,7          36          9147
30,00         38-01         13-31         9357         -41,2                       9308
30,50         38-20         13-33         9541         -42,2                       9491
31,00         38-23         13-28         9733         -43,3                       9670
31,50         38-40         13-26         9914         -44,3                       9846
32,00         38-57         13-24         10089         -45,2                       10014
32,50         38-70         13-12         10278         -46,2                       10177
33,00         42-05         13-08         10471         -47,3                       10356
33,50         47-79         14-31         10502         -47,9                       10570
34,00         48-24         14-62         10703         -49,2                       10790
34,50         49-56         14-68         10886         -50,2                       10976   P
35,00         51-25         14-87         11039         -51,3                       11134
35,50         37-19         14-85         11183         -52,6                       11277
36,00         27-95         14-75         11339         -53,6                       11431   P
36,50         28-76         14-64         11542         -54,7                       11630
37,00         29-61         14-53         11739         -54,6                       11820
37,50         29-56         14-42         11939         -55,3                       12014
38,00         29-72         14-31         12145         -55,6                       12210
38,50         29-61         14-21         12329         -55,8                       12383
39,00         29-69         14-10         12539         -54,3                       12580
39,50         29-97         13-99         12738         -54,6                       12763
40,00         33-63         13-88         12933         -55,3                       12941
40,50         34-40         13-78         13129         -55,3                       13117
41,00         33-69         13-67         13326         -55,0                       13293
41,50         31-54         13-56         13545         -53,8                       13487
42,00         30-16         13-45         13790         -52,7                       13705
42,50         28-77         13-35         14049         -53,1                       13935
43,00         27-37         13-24         14324         -53,3                       14176
43,50         25-98         13-13         14611         -53,4                       14428
44,00         24-58         13-02         14908         -53,0                       14686
44,50         23-19         12-91         15212         -54,0                       14947
45,00         21-79         12-81         15522         -54,7                       15210
45,50         20-40         12-70         15838         -55,2                       15477
46,00         19-34         12-45         16221         -55,5                       15743
46,50         19-48         12-35         16589         -55,7                       16051
