0,50         31-45         4-89         293         -2,0          60          304   P
1,00         31-08         4-13         687         -3,3          60          448
1,50         30-44         3-89         1087         -4,5          62          591
2,00         29-57         4-51         1262         -6,0          64          735
2,50         29-67         4-51         1577         -7,5          66          878
3,00         29-92         4-63         1906         -8,6          67          1048
3,50         30-28         4-75         2211         -9,6          66          1214
4,00         30-48         4-88         2473         -11,0          67          1369
4,50         30-65         5-03         2745         -12,5          68          1541
5,00         30-69         5-16         3031         -13,9          69          1720
5,50         30-86         5-30         3267         -15,2          69          1881
6,00         30-95         5-43         3521         -16,0          67          2055
6,50         31-04         5-51         3748         -17,0          65          2204
7,00         31-04         5-64         3939         -18,0          64          2353
7,50         30-89         5-77         4108         -19,2          62          2494
8,00         30-68         5-92         4311         -20,4          62          2664
8,50         30-55         6-07         4476         -21,9          61          2819
9,00         30-37         6-20         4660         -23,3          61          2978
9,50         30-22         6-34         4798         -24,5          61          3116
10,00         30-03         6-45         4958         -25,7          60          3258
10,50         29-78         6-58         5126         -27,0          59          3419
11,00         29-56         6-69         5225         -28,2          59          3527
11,50         29-24         6-82         5394         -29,2          58          3691
12,00         28-80         7-01         5503         -30,2          59          3846
12,50         28-56         7-06         5704         -30,8          58          4001
13,00         28-46         7-11         5899         -30,7          54          4157
13,50         28-53         7-08         6145         -31,7          50          4312
14,00         28-54         7-06         6389         -32,4          47          4463
14,50         28-58         7-00         6646         -33,2          44          4609
15,00         28-57         6-92         6936         -33,6          42          4757
15,50         28-70         6-80         7263         -34,1          40          4905
16,00         28-77         6-66         7613         -34,6          38          5050
16,50         28-91         6-50         7999         -35,4          36          5194
17,00         29-02         6-36         8376         -35,5          35          5336
17,50         29-07         6-21         8787         -35,7          34          5479
18,00         29-12         6-07         9207         -35,9          33          5623
18,50         29-14         5-88         9700         -35,8          32          5766
19,00         29-27         5-66         10278         -36,6          31          5904
19,50         29-42         5-48         10853         -37,4          31          6048
20,00         29-55         5-29         11459         -38,2          30          6191
20,50         29-69         5-10         12126         -38,6          29          6330
21,00         29-82         4-92         12812         -39,3          29          6468
21,50         29-93         4-79         13413         -40,0          29          6606
22,00         30-01         4-65         14083         -40,7                       6746
22,50         30-12         4-54         14700         -41,6                       6884
23,00         30-21         4-42         15374         -42,2                       7023
23,50         30-32         4-30         16088         -42,9                       7161
24,00         30-44         4-19         16790         -43,5                       7298
24,50         30-53         4-10         17490         -44,2                       7434
25,00         30-62         4-02         18139         -45,1                       7569
25,50         30-73         3-94         18818         -46,0                       7706
26,00         30-81         3-89         19409         -46,2                       7846
26,50         30-86         3-85         19896         -46,3                       7992
27,00         30-89         3-75         20747         -47,3                       8131
27,50         30-96         3-71         21337         -48,2                       8274
28,00         30-99         3-67         21963         -48,0                       8417
28,50         31-05         3-62         22613         -48,2                       8559
29,00         31-06         3-60         23150         -48,2                       8704
29,50         31-06         3-52         24007         -48,5                       8839
30,00         31-04         3-51         24471         -48,6                       8978
30,50         31-06         3-47         25100         -48,8                       9116
31,00         31-06         3-44         25675         -48,9                       9251
31,50         31-02         3-44         26071         -49,1                       9389
32,00         31-03         3-43         26554         -48,9                       9526
32,50         31-03         3-42         27017         -49,0                       9662
33,00         31-03         3-40         27509         -49,1                       9800
33,50         30-98         3-42         27827         -49,3                       9943
34,00         30-95         3-43         28115         -49,7                       10089
34,50         30-93         3-44         28467         -49,6                       10232
35,00         30-94         3-44         28825         -49,3                       10375
35,50         30-87         3-44         29237         -49,6                       10519
36,00         30-80         3-44         29633         -49,1                       10663
36,50         30-74         3-43         30165         -49,8                       10802
37,00         30-73         3-40         30746         -49,8                       10939
37,50         30-67         3-42         31048         -50,1                       11080
38,00         30-62         3-41         31454         -50,1                       11221
38,50         30-53         3-45         31580         -49,6                       11371
39,00         30-49         3-42         32216         -49,5                       11508
39,50         30-48         3-42         32593         -48,7                       11641
40,00         30-42         3-44         32822         -49,0                       11774
40,50         30-36         3-46         32989         -49,0                       11909
41,00         30-26         3-49         33109         -49,1                       12047
41,50         30-17         3-53         33157         -47,9                       12190
42,00         30-07         3-54         33446         -47,5                       12332
42,50         30-00         3-58         33458         -47,9                       12485
43,00         29-94         3-58         33860         -48,0                       12634
43,50         29-89         3-59         34220         -47,5                       12782
44,00         29-82         3-62         34372         -47,4                       12937
44,50         29-76         3-62         34766         -47,8                       13084
45,00         29-66         3-65         34870         -47,8                       13238
45,50         29-57         3-67         35145         -48,6                       13390
46,00         29-47         3-69         35353         -49,0                       13546
46,50         29-38         3-70         35664         -49,3                       13703
47,00         29-29         3-69         36159         -49,0                       13855
47,50         29-20         3-70         36466         -49,4                       14013
48,00         29-08         3-68         37055         -49,1                       14155
48,50         28-98         3-69         37372         -49,1                       14299
49,00         28-86         3-70         37568         -49,2                       14443
49,50         28-73         3-73         37695         -49,5                       14591
50,00         28-61         3-74         38024         -50,0                       14733
50,50         28-49         3-75         38302         -49,9                       14879
51,00         28-36         3-78         38356         -50,4                       15032
51,50         28-26         3-79         38667         -49,8                       15188
52,00         28-18         3-79         39059         -49,6                       15345
52,50         28-09         3-80         39418         -48,9                       15498
53,00         27-98         3-81         39624         -49,1                       15650
53,50         27-89         3-82         39976         -49,6                       15798
54,00         27-81         3-84         40088         -50,6                       15947
54,50         27-68         3-88         40174         -52,1                       16100
55,00         27-55         3-89         40402         -51,9                       16256
55,50         27-47         3-90         40695         -51,9                       16415
56,00         27-38         3-93         40855         -52,2                       16578
56,50         27-26         3-94         41140         -51,6                       16737
57,00         27-18         3-94         41517         -52,4                       16891
