0,50         25-76         8-38         52         25,0          49          220   P
1,00         26-91         8-59         103         23,8          48          260
1,50         29-34         9-73         142         22,8          48          301
2,00         29-23         11-41         174         21,5          51          341
2,50         31-55         12-09         211         20,1          54          382
3,00         31-65         12-64         324         19,0          55          494
3,50         32-61         13-31         456         17,9          57          629
4,00         32-56         13-78         527         16,9          58          702
4,50         32-90         14-14         687         16,0          59          864
5,00         35-31         14-46         788         15,0          59          967
5,50         39-82         14-49         880         13,9          60          1059
6,00         43-55         14-55         1007         13,1          59          1187
6,50         46-55         14-46         1094         12,1          60          1272
7,00         47-53         14-11         1232         11,2          60          1407
7,50         48-45         13-98         1372         10,5          59          1545
8,00         48-47         14-00         1441         10,0          58          1613
8,50         48-45         13-95         1590         9,4          57          1761
9,00         48-44         13-76         1690         8,7          57          1855
9,50         48-44         13-67         1771         8,2          55          1933
10,00         48-53         13-53         1920         7,4          55          2077
10,50         48-88         13-31         1996         6,8          54          2145
11,00         49-44         12-96         2150         5,7          54          2281
11,50         49-86         12-55         2287         5,6          54          2392
12,00         50-23         12-05         2432         4,9          50          2497
12,50         50-53         11-70         2580         3,9          48          2608
13,00         50-71         11-43         2741         2,5          51          2732
13,50         50-69         11-17         2910         1,6          54          2859
14,00         50-66         11-02         3073         1,1          53          2990
14,50         50-66         10-94         3226         -0,2          54          3119
15,00         50-53         10-86         3391         -0,9          56          3258
15,50         50-44         10-76         3550         -1,4          56          3386
16,00         50-52         10-59         3732         -2,0          56          3522
16,50         50-49         10-57         3886         -2,4          55          3655
17,00         50-40         10-56         4034         -2,7          48          3786
17,50         50-01         10-48         4200         -3,3          44          3918
18,00         49-87         10-48         4348         -3,6          45          4050
18,50         49-13         10-28         4526         -4,3          50          4165
19,00         48-97         10-37         4648         -4,6          52          4292
19,50         48-57         10-38         4786         -5,0          48          4417
20,00         48-53         10-36         4934         -5,5          43          4543
20,50         48-01         10-24         5107         -6,0          38          4665
21,00         47-63         10-34         5217         -6,6          33          4787
21,50         47-38         10-17         5398         -7,3          35          4902
22,00         47-38         10-18         5531         -7,9          37          5020
22,50         47-43         10-11         5692         -8,5          34          5143
23,00         47-46         9-99         5867         -9,0          31          5259
23,50         47-45         9-98         6003         -9,3          28          5372
24,00         47-50         9-91         6159         -10,1          27          5485
24,50         47-53         9-89         6299         -11,0          27          5597
25,00         47-93         9-79         6460         -11,7          27          5703
25,50         48-22         9-89         6545         -12,6          27          5810
26,00         48-41         9-82         6697         -13,4          27          5918
26,50         48-75         9-81         6821         -14,4          27          6016
27,00         49-03         9-82         6936         -15,2          28          6119
27,50         49-32         9-71         7097         -16,1          28          6216
28,00         49-60         9-73         7205         -16,9          28          6314
28,50         49-84         9-84         7278         -17,5          27          6420
29,00         50-21         9-72         7452         -18,2          26          6524
29,50         50-41         9-52         7669         -19,0          26          6622
30,00         50-58         9-43         7834         -19,7          26          6718
30,50         50-77         9-33         8009         -20,4          26          6819
31,00         50-95         9-26         8173         -21,4          26          6918
31,50         51-12         9-18         8337         -22,0          26          7015
32,00         51-39         9-12         8495         -22,8          27          7117
32,50         51-53         9-03         8682         -23,6          28          7219
33,00         51-78         9-07         8787         -24,7          28          7325
33,50         51-87         8-97         8981         -25,7          28          7431
34,00         51-99         8-88         9182         -26,8          28          7539
34,50         52-10         8-84         9334         -27,5          28          7639
35,00         52-16         8-77         9514         -28,2          28          7743
35,50         52-32         8-73         9685         -28,7          27          7851
36,00         52-54         8-68         9862         -29,5          27          7960
36,50         52-83         8-63         10037         -30,3          26          8065
37,00         52-99         8-60         10208         -31,0          26          8177
37,50         53-22         8-57         10366         -31,6          26          8283
38,00         53-44         8-53         10540         -32,3          26          8389
38,50         53-72         8-44         10748         -33,1          26          8491
39,00         54-00         8-41         10902         -33,8          26          8590
39,50         54-26         8-46         10996         -34,5          26          8698
40,00         54-53         8-42         11170         -35,4          26          8798
40,50         54-81         8-37         11342         -36,1          28          8899
41,00         55-09         8-38         11463         -36,9          29          8999
41,50         55-32         8-33         11648         -37,9          29          9100
42,00         55-60         8-32         11792         -38,7          30          9203
42,50         55-66         8-24         12011         -39,5          32          9305
43,00         55-86         8-20         12178         -40,2                       9399
43,50         56-06         8-21         12305         -41,0                       9501
44,00         56-29         8-20         12450         -41,7                       9602
44,50         56-45         8-14         12644         -42,6                       9701
45,00         56-76         8-19         12732         -43,4                       9807
45,50         56-96         8-16         12902         -44,3                       9910
46,00         57-19         8-13         13088         -45,2                       10022
46,50         57-36         8-10         13267         -46,0                       10128
47,00         57-58         8-08         13435         -46,8                       10239
47,50         57-63         8-02         13656         -47,6                       10352
48,00         57-71         7-98         13869         -48,3                       10463
48,50         57-86         7-95         14045         -49,2                       10565
49,00         58-02         7-94         14197         -50,2                       10673
49,50         58-26         7-93         14370         -50,9                       10788
50,00         58-31         7-89         14578         -51,7                       10899
50,50         58-56         7-90         14717         -52,6                       11018
51,00         58-74         7-88         14923         -53,7                       11139
51,50         58-81         7-85         15131         -54,3                       11261
52,00         58-93         7-77         15411         -54,8                       11383
52,50         58-97         7-74         15635         -54,8                       11508
53,00         58-98         7-73         15825         -55,0                       11634
53,50         58-99         7-67         16102         -55,3                       11762
54,00         58-98         7-60         16385         -55,5                       11885
54,50         58-97         7-57         16611         -55,1                       12012
55,00         58-97         7-48         16963         -55,1                       12150
55,50         58-99         7-48         17139         -55,3                       12274
56,00         58-99         7-36         17579         -54,5                       12428
56,50         59-02         7-36         17769         -54,9                       12559
57,00         59-07         7-38         17927         -55,5                       12694
57,50         59-10         7-38         18090         -56,2                       12814
58,00         59-17         7-39         18224         -56,2                       12923
58,50         59-16         7-42         18380         -55,0                       13065
59,00         59-09         7-51         18371         -54,9                       13180
59,50         59-05         7-59         18400         -54,4                       13309
60,00         59-03         7-67         18413         -54,2                       13423
60,50         59-01         7-72         18509         -54,6                       13570
61,00         58-99         7-74         18702         -54,1                       13736
61,50         58-98         7-76         18899         -53,3                       13907
62,00         58-97         7-78         19039         -52,1                       14032
62,50         58-97         7-82         19108         -52,4                       14141
63,00         58-96         7-90         19148         -51,8                       14273
63,50         58-96         7-97         19229         -51,5                       14423
64,00         58-97         8-02         19335         -51,7                       14571
64,50         58-95         8-11         19362         -52,2                       14720
65,00         58-70         8-13         19510         -52,7                       14860
65,50         58-68         8-18         19585         -52,7                       14985
66,00         58-66         8-28         19572         -53,1                       15097
66,50         58-25         8-23         19760         -53,1                       15181
67,00         58-20         8-23         19889         -53,1                       15278
