0,50         41-56         8-26         147         25,6          39          212   P
1,00         37-91         9-51         267         23,8          40          324
1,50         37-39         9-79         393         21,4          42          436
2,00         35-25         10-94         492         19,3          44          548
2,50         32-80         10-84         618         17,3          46          660
3,00         32-17         10-74         776         15,5          48          800
3,50         31-74         10-55         1068         13,4          50          1054
4,00         31-71         10-42         1316         11,5          53          1267
4,50         31-41         10-27         1500         10,0          55          1420
5,00         31-39         10-07         1740         8,2          59          1613
5,50         30-80         9-89         1924         7,1          58          1755
6,00         30-70         9-75         2180         6,0          56          1959
6,50         30-69         9-56         2437         4,7          57          2153
7,00         30-65         9-42         2606         3,9          57          2273
7,50         30-65         9-41         2777         3,7          51          2414
8,00         30-58         9-38         2946         3,2          43          2549
8,50         30-73         9-18         3155         2,3          39          2686
9,00         31-00         9-13         3332         1,4          36          2823
9,50         31-18         9-13         3521         0,9          33          2977
10,00         31-34         8-97         3773         0,5          32          3145
10,50         31-38         8-85         4048         -0,3          32          3337
11,00         31-38         8-85         4204         -1,2          32          3461
11,50         31-57         8-83         4360         -2,5          33          3581
12,00         31-73         8-70         4609         -3,6          33          3743
12,50         31-67         8-74         4803         -5,0          33          3906
13,00         31-66         8-78         4983         -6,4          33          4063
13,50         31-73         8-78         5187         -7,7          33          4226
14,00         31-77         8-80         5383         -9,1          33          4387
14,50         31-73         8-79         5593         -9,9          31          4550
15,00         32-03         8-64         5846         -10,1          30          4697
15,50         32-14         8-55         6093         -11,0          31          4853
16,00         32-09         8-46         6334         -12,3          31          5006
16,50         32-00         8-44         6544         -13,8          31          5160
17,00         31-96         8-38         6780         -15,2          33          5316
17,50         31-81         8-31         7028         -16,6          35          5473
18,00         31-65         8-22         7302         -17,8          36          5636
18,50         31-46         8-13         7582         -19,1          37          5801
19,00         31-37         8-01         7887         -20,5          37          5969
19,50         31-27         7-88         8208         -22,0          37          6132
20,00         31-05         7-74         8556         -22,4          37          6299
20,50         30-97         7-57         8933         -23,0          36          6464
21,00         30-86         7-41         9325         -23,8          35          6632
21,50         30-87         7-27         9706         -24,3          34          6794
22,00         30-90         7-07         10168         -25,5          32          6960
22,50         30-87         6-91         10597         -26,9          31          7120
23,00         30-88         6-75         11035         -28,0          30          7270
23,50         30-88         6-63         11486         -29,2          30          7445
24,00         30-83         6-50         11932         -30,4          29          7614
24,50         30-81         6-40         12343         -31,7          29          7767
25,00         30-75         6-26         12803         -32,8          29          7903
25,50         30-70         6-18         13221         -33,9          29          8067
26,00         30-62         6-06         13757         -35,1          29          8258
26,50         30-57         5-99         14244         -36,4          29          8464
27,00         30-46         5-88         14832         -37,6          30          8669
27,50         30-39         5-76         15400         -39,1          30          8836
28,00         30-32         5-65         15917         -40,5                       8982
28,50         30-30         5-57         16389         -41,6                       9131
29,00         30-24         5-45         16910         -42,7                       9243
29,50         30-23         5-37         17303         -44,1                       9320
30,00         30-17         5-27         17673         -45,3                       9363
30,50         30-06         5-15         18048         -46,4                       9371
31,00         29-99         5-06         16651         -47,5                       8521
31,50         29-90         4-98         16915         -48,7                       8523
32,00         29-77         4-90         17106         -49,7                       8504
32,50         29-74         4-83         17310         -50,4                       8479   P
