0,50         45-24         5-26         503         19,7          46          414   P
1,00         45-19         3-52         1415         19,1          50          660
1,50         47-20         3-64         2030         18,4          54          906
2,00         45-54         4-52         2197         17,2          55          1151
2,50         45-40         5-05         2469         16,1          55          1397
3,00         45-56         5-44         2580         14,6          57          1541
3,50         45-63         5-85         2617         13,2          60          1655
4,00         45-82         6-39         2735         12,0          62          1847   P
4,50         45-75         7-03         2752         10,7          63          1998
5,00         45-72         7-56         2772         9,4          65          2122
5,50         45-58         8-22         2791         8,0          66          2267
6,00         45-17         8-69         2806         7,8          63          2366
6,50         44-74         9-31         2931         7,1          56          2576
7,00         44-24         9-90         2957         5,9          58          2695
7,50         44-02         10-53         3020         5,0          61          2845   P
8,00         43-74         11-23         3138         3,8          63          3047
8,50         42-59         11-99         3196         3,1          61          3188
9,00         42-42         12-39         3346         1,9          60          3372
9,50         42-56         12-70         3415         0,9          59          3466
10,00         44-22         12-94         3527         0,2          58          3595
10,50         45-59         13-13         3672         -0,1          53          3752
11,00         47-48         13-26         3790         -0,5          47          3877
11,50         48-74         13-41         3927         -1,1          44          4023
12,00         49-72         13-32         4087         -1,1          40          4174
12,50         50-42         13-17         4274         -1,8          38          4345
13,00         51-27         12-98         4445         -2,6          36          4496
13,50         51-90         12-80         4617         -4,1          36          4645
14,00         52-09         12-55         4808         -4,7          36          4800
14,50         52-37         12-41         4988         -5,9          35          4956
15,00         52-53         12-28         5168         -7,3          35          5109
15,50         52-79         12-12         5359         -8,6          35          5268
16,00         52-96         11-99         5551         -9,7          35          5427
16,50         53-02         11-78         5753         -10,2          35          5579
17,00         53-20         11-58         5970         -11,0          33          5740
17,50         53-53         11-37         6196         -12,2          32          5904
18,00         54-04         11-12         6434         -13,2          32          6060
18,50         54-21         10-78         6722         -14,5          31          6225
19,00         54-42         10-39         7041         -16,0          30          6385
19,50         54-49         10-09         7349         -17,1          30          6547
20,00         54-67         9-73         7693         -18,6          29          6700
20,50         54-77         9-39         8055         -19,9          29          6856
21,00         54-91         9-08         8432         -21,1          30          7013
21,50         54-93         8-76         8839         -22,3          29          7170
