0,50         10-10         7-43         173         16,0          65          214   P
1,00         10-05         6-96         360         14,5          67          332
1,50         10-23         6-82         545         13,5          66          449
2,00         9-94         6-39         765         12,4          67          567
2,50         9-31         6-23         975         11,8          66          684
3,00         9-16         6-08         1300         10,8          66          865
3,50         8-98         6-00         1584         9,7          66          1023
4,00         8-74         5-87         1898         8,3          67          1186
4,50         8-70         5-81         2182         7,3          68          1340
5,00         8-60         5-74         2457         6,0          69          1482
5,50         8-59         5-64         2809         6,9          65          1658
6,00         8-69         5-57         3088         6,6          59          1793
6,50         8-80         5-42         3385         5,7          57          1911
7,00         8-84         5-35         3716         4,7          57          2065
7,50         8-78         5-39         3977         4,7          51          2220
8,00         8-92         5-35         4256         3,4          51          2353
8,50         9-16         5-32         4547         2,2          53          2495
9,00         9-21         5-29         4890         1,0          53          2665
9,50         9-24         5-22         5219         -0,1          55          2803
10,00         9-39         5-16         5568         -1,0          60          2956
10,50         9-56         5-03         5959         -1,9          62          3089
11,00         9-63         4-95         6356         -2,2          61          3244
11,50         9-73         4-87         6749         -3,3          59          3386
12,00         9-81         4-77         7174         -4,2          58          3530
12,50         9-82         4-77         7488         -5,5          58          3680
13,00         9-82         4-71         7895         -6,9          59          3834
13,50         9-83         4-63         8362         -8,3          61          3986
14,00         9-76         4-59         8752         -8,4          62          4142
14,50         9-77         4-50         9278         -9,0          59          4303
15,00         9-74         4-39         9852         -10,4          59          4465
15,50         9-81         4-22         10586         -11,8          60          4618
16,00         9-84         4-13         11126         -12,6          56          4751
16,50         9-87         4-04         11630         -13,7          52          4865
17,00         9-90         3-95         12114         -14,5          46          4962
17,50         9-93         3-89         12543         -15,0          42          5056
18,00         9-94         3-78         13150         -16,0          38          5162
18,50         9-89         3-77         13571         -17,4          39          5308
19,00         9-87         3-68         14343         -19,0          45          5488
19,50         9-87         3-62         15074         -19,8          49          5667
20,00         9-85         3-60         15632         -21,0          51          5851
20,50         9-86         3-57         16266         -22,1          51          6037
21,00         9-85         3-54         16910         -23,0          50          6226
21,50         9-85         3-51         17594         -24,4          49          6413
22,00         9-81         3-50         18178         -25,8          47          6602
22,50         9-82         3-48         18816         -27,1          46          6791
23,00         9-78         3-49         19239         -28,4          45          6989
23,50         9-79         3-45         19990         -29,8          45          7183
24,00         9-79         3-42         20690         -31,4          45          7377
24,50         9-81         3-35         21691         -32,4          46          7565
25,00         9-78         3-32         22381         -33,8          46          7753
25,50         9-73         3-34         22890         -35,2          46          7955
26,00         9-70         3-32         23595         -36,8          46          8156
26,50         9-64         3-33         24127         -38,2          46          8368
27,00         9-61         3-30         24951         -39,7          47          8582
27,50         9-59         3-22         26172         -40,8                       8784
28,00         9-59         3-18         27087         -41,7                       8992
28,50         9-62         3-09         28477         -42,0                       9186
29,00         9-63         3-06         29327         -43,4                       9378
29,50         9-64         3-06         29979         -43,8                       9574
30,00         9-67         3-02         30900         -43,9                       9761
30,50         9-68         2-98         31908         -43,3                       9948
31,00         9-67         2-95         32819         -43,6                       10131
31,50         9-69         2-91         33815         -43,1                       10312
32,00         9-71         2-86         34957         -43,4                       10480
32,50         9-77         2-78         36495         -44,3                       10624
33,00         9-78         2-74         37466         -45,4                       10762
33,50         9-79         2-72         38234         -46,3                       10899
34,00         9-87         2-70         38977         -47,5                       11034
34,50         9-92         2-68         39663         -48,7                       11174
35,00         9-94         2-66         40478         -49,7                       11309
35,50         9-98         2-63         41421         -50,9                       11438
36,00         10-01         2-61         42107         -52,0                       11569
36,50         10-05         2-61         42658         -53,2                       11708
37,00         10-11         2-61         43165         -54,2                       11843
37,50         10-18         2-58         44104         -53,9                       11967
38,00         10-17         2-55         44983         -55,0                       12076
38,50         10-20         2-57         45222         -56,2                       12202
39,00         10-24         2-55         45933         -56,8                       12322
