0,50         39-90         7-01         157         20,2          46          286   P
1,00         41-60         6-64         328         20,3          40          391
1,50         42-42         6-45         505         19,3          39          497
2,00         42-46         6-41         677         18,2          40          602
2,50         42-45         6-17         875         16,8          41          708
3,00         42-08         6-01         1265         15,5          43          926
3,50         41-83         5-82         1533         14,9          42          1059
4,00         41-92         5-51         1824         15,6          34          1177
4,50         42-24         5-27         2151         15,3          32          1309
5,00         42-40         5-05         2608         14,8          31          1496
5,50         42-45         4-92         2950         14,2          31          1635
6,00         42-68         4-75         3357         13,5          32          1784
6,50         42-86         4-61         3765         12,3          34          1928
7,00         42-98         4-57         4145         11,4          36          2089
7,50         43-12         4-43         4564         11,0          35          2224
8,00         43-19         4-34         4961         10,0          34          2359
8,50         43-14         4-29         5402         8,5          35          2527
9,00         43-06         4-26         5838         6,9          37          2700
9,50         42-97         4-22         6223         6,0          36          2842
10,00         42-82         4-14         6702         4,7          35          2999
10,50         42-67         4-10         7133         3,4          35          3148
11,00         42-57         4-08         7630         2,2          35          3343
11,50         42-52         4-03         8048         0,9          34          3478
12,00         42-47         4-00         8460         -0,1          33          3623
12,50         42-38         3-96         8903         -0,8          30          3769
13,00         42-34         3-96         9271         -1,9          29          3919
13,50         42-26         3-92         9753         -1,7          26          4071
14,00         42-21         3-85         10293         -2,3          24          4218
14,50         42-16         3-80         10793         -3,2          25          4363
15,00         42-15         3-73         11364         -4,3          24          4507
15,50         42-13         3-70         11834         -5,4          23          4652
16,00         42-09         3-64         12334         -6,6          23          4775
16,50         42-04         3-56         12993         -7,7          24          4920
17,00         41-99         3-52         13555         -8,6          24          5062
17,50         41-95         3-48         14100         -9,2          23          5202
18,00         41-94         3-44         14628         -10,1          23          5343
18,50         41-92         3-40         15228         -11,2          22          5483
19,00         41-91         3-35         15821         -12,2          22          5622
19,50         41-92         3-34         16307         -12,9          21          5761
20,00         41-92         3-29         16931         -13,9          21          5896
20,50         41-95         3-27         17448         -14,9          21          6036
21,00         41-96         3-22         18119         -16,0          20          6167
21,50         41-98         3-19         18632         -17,2          20          6297
22,00         42-01         3-15         19248         -18,6          20          6421
22,50         42-01         3-13         19790         -20,0          20          6543
23,00         42-03         3-09         20361         -21,2          21          6663
23,50         42-06         3-07         20857         -22,0          21          6783
24,00         42-10         3-05         21322         -23,2          21          6898
24,50         42-13         3-02         21860         -24,2          21          7014
25,00         42-15         3-01         22347         -25,4          21          7123
25,50         42-16         2-99         22774         -26,5          21          7233
26,00         42-17         2-99         23129         -27,6          22          7341
26,50         42-18         2-98         23558         -28,7          22          7449
27,00         42-21         3-00         23823         -30,0          22          7561
27,50         42-23         2-99         24226         -31,1          22          7672
28,00         42-25         3-00         24502         -32,3          23          7784
28,50         42-26         3-00         24856         -33,4          23          7894
29,00         42-28         3-02         25085         -34,6          23          8008
29,50         42-29         3-02         25447         -35,7          23          8122
30,00         42-30         3-01         25876         -36,9          23          8229
30,50         42-29         3-03         26056         -37,9          23          8342
31,00         42-27         3-03         26362         -38,9          24          8456
31,50         42-26         3-03         26729         -40,0                       8569
32,00         42-26         3-05         27009         -41,3                       8688
32,50         42-25         3-05         27342         -42,3                       8809
33,00         42-25         3-06         27677         -43,6                       8931
33,50         42-28         3-05         28146         -44,7                       9048
34,00         42-28         3-04         28555         -45,9                       9161
34,50         42-27         3-06         28783         -47,2                       9282
35,00         42-27         3-06         29127         -48,3                       9408
35,50         42-27         3-07         29441         -49,5                       9540
36,00         42-27         3-09         29733         -50,5                       9669
36,50         42-25         3-10         30011         -51,2                       9787
37,00         42-25         3-10         30314         -52,0                       9905
37,50         42-23         3-14         30387         -53,1                       10031
38,00         42-23         3-17         30480         -54,1                       10168
38,50         42-20         3-22         30507         -55,2                       10311
39,00         42-19         3-23         30748         -55,6                       10445
39,50         42-20         3-25         31009         -56,0                       10570
40,00         42-20         3-27         31186         -55,1                       10691
40,50         42-23         3-28         31387         -55,0                       10813
41,00         42-25         3-29         31688         -54,7                       10933
41,50         42-28         3-32         31754         -54,7                       11059
42,00         42-29         3-35         31882         -54,2                       11189
42,50         42-28         3-38         32025         -52,8                       11323
43,00         42-29         3-41         32149         -52,8                       11461
43,50         42-30         3-41         32455         -53,2                       11597
44,00         42-30         3-47         32392         -53,1                       11744
44,50         42-33         3-54         32230         -53,5                       11908
45,00         42-33         3-58         32326         -53,4                       12078   P
45,50         42-31         3-65         32208         -52,7                       12263
46,00         42-39         3-73         32145         -52,7                       12462
46,50         42-41         3-77         32317         -52,4                       12665
47,00         42-46         3-81         32517         -52,8                       12871
47,50         42-49         3-85         32759         -53,6                       13079
48,00         42-52         3-88         33005         -53,6                       13288
48,50         42-54         3-95         33044         -53,5                       13507
49,00         42-55         3-98         33308         -53,9                       13725
49,50         42-60         4-02         33528         -53,2                       13943
50,00         42-57         4-05         33854         -52,9                       14157
50,50         42-59         4-06         34220         -52,8                       14364
51,00         42-60         4-12         34266         -53,6                       14580
51,50         42-61         4-14         34640         -53,9                       14790
52,00         42-63         4-19         34774         -53,5                       15004
52,50         42-65         4-24         34900         -53,5                       15223
53,00         42-68         4-29         35034         -54,7                       15447
53,50         42-70         4-34         35178         -55,1                       15675
54,00         42-72         4-39         35327         -55,6                       15907
54,50         42-74         4-44         35484         -55,8                       16141
55,00         42-76         4-49         35643         -55,0                       16381
55,50         42-79         4-54         35807         -55,1                       16622
56,00         42-81         4-59         35972         -56,0                       16865
56,50         42-83         4-64         36138         -56,9                       17109
57,00         42-85         4-69         36302         -57,0                       17354
57,50         42-87         4-74         36466         -57,1                       17600
58,00         42-90         4-79         36630         -57,9                       17846
58,50         42-92         4-84         36792         -57,7                       18093
